Company Name,Job Title,Salary,Min salary,Max salary,Fourchette
Brigad,Data Engineer,58k -63k,58k,63k,58223 - 62645 Fourchette
JCDecaux,Data Engineer,55k -59k,55k,59k,54620 - 59178 Fourchette
24 Sèvres,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1091 - 1174 Fourchette
Neoxia,Data Engineer,49k -53k,49k,53k,48930 - 52630 Fourchette
Berexia,Data Engineer,56k -61k,56k,61k,56082 - 61197 Fourchette
Airbus,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1056 - 1144 Fourchette
Xebia,Data Engineer,49k -54k,49k,54k,49316 - 53620 Fourchette
OpenValue,Data Engineer,56k -61k,56k,61k,56229 - 61348 Fourchette
Talys Consulting,Data Engineer,53k -57k,53k,57k,52731 - 56918 Fourchette
Be Sports,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1123 - 1230 Fourchette
SFR,Data Engineer,44k -48k,44k,48k,43756 - 47981 Fourchette
Cognira,Data Engineer - Mensuel,2kTND -2kTND,2kTND,2kTND,2326TND - 2475TND Fourchette
Leansys Conseil Et Expertise,Data Engineer,32k -35k,32k,35k,32252 - 34950 Fourchette
KLANIK Consulting,Data Engineer - Mensuel,3k -3k,3k,3k,2527 - 2743 Fourchette
Starlims,Data Engineer,37k -40k,37k,40k,37023 - 40446 Fourchette
Company Name,Job Title,Salary,Min salary,Max salary,Fourchette
EXFO,Data Engineer,39k -43k,39k,43k,39310 - 42769 Fourchette
Groupe Rocher,Data Engineer - Mensuel,969 -1k,969,1k,969 - 1054 Fourchette
Redslim,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1025 - 1103 Fourchette
Cyllene,Data Engineer,45k -49k,45k,49k,44960 - 49019 Fourchette
Sogecap,Data Engineer - Mensuel,1k -1k,1k,1k,1162 - 1255 Fourchette
SNCF Connect & Tech,Data Engineer,47k -51k,47k,51k,46727 - 50592 Fourchette
PrestaShop,Data Engineer,46k -50k,46k,50k,45598 - 49848 Fourchette
ADEO,Data Engineer - Mensuel,2k -2k,2k,2k,1958 - 2103 Fourchette
Dalet,Data Engineer - Stagiaire mensuel,3k -3k,3k,3k,2575 - 2774 Fourchette
Reussir,Data Engineer - Stagiaire mensuel,960 -1k,960,1k,960 - 1036 Fourchette
Green Panda Games,Data Engineer,49k -52k,49k,52k,48678 - 52305 Fourchette
Bial-X.,Data Engineer - Mensuel,3k -3k,3k,3k,2921 - 3140 Fourchette
Quantmetry,Data Engineer - Mensuel,1k -1k,1k,1k,1316 - 1445 Fourchette
Wakam,Data Engineer,42k -44k,42k,44k,41664 - 44312 Fourchette
Oney,Data Engineer,45k -49k,45k,49k,44930 - 49487 Fourchette
Redslim,Data Engineer,57k -61k,57k,61k,56641 - 61405 Fourchette
CGI,Data Engineer,33k -36k,33k,36k,33419 - 36376 Fourchette
Predictice,Data Engineer,47k -52k,47k,52k,46846 - 51717 Fourchette
Realytics,Data Engineer,36k -39k,36k,39k,35989 - 39177 Fourchette
Assistance Publique Hôpitaux de Paris,Data Engineer,43k -47k,43k,47k,43425 - 47120 Fourchette
Gouvernement Français,Data Engineer - Mensuel,3k -3k,3k,3k,2860 - 3116 Fourchette
CACEIS,Data Engineer,47k -51k,47k,51k,47290 - 51189 Fourchette
Meero,Data Engineer,44k -48k,44k,48k,44206 - 47793 Fourchette
Sigma Informatique,Data Engineer - Mensuel,1k -1k,1k,1k,1341 - 1474 Fourchette
Mind7 Consulting,Data Engineer,40k -44k,40k,44k,40259 - 43955 Fourchette
Bouygues Telecom,Data Engineer - Stagiaire mensuel,2k -2k,2k,2k,1586 - 1727 Fourchette
LittleBigCode,Data Engineer,56k -60k,56k,60k,56395 - 60264 Fourchette
FREE NOW,Data Engineer,70k -76k,70k,76k,69822 - 76201 Fourchette
CGI,Data Engineer,38k -41k,38k,41k,38180 - 40595 Fourchette
D2SI,Data Engineer,40k -44k,40k,44k,40472 - 44161 Fourchette
AXA,Data Engineer,57k -62k,57k,62k,57268 - 61511 Fourchette
Sopra Banking Software,Data Engineer - Stagiaire mensuel,1k -2k,1k,2k,1423 - 1561 Fourchette
Métropole de Lyon,Data Engineer - Stagiaire horaire,4 -4,4,4,4 - 4 Fourchette
inconnu,Data Engineer,40k -43k,40k,43k,39596 - 43182 Fourchette
ricardo.ch,Data Engineer,59k -64k,59k,64k,59039 - 64123 Fourchette
Health Data Hub,Data Engineer - Stagiaire mensuel,805 -872,805,872,805 - 872 Fourchette
Yale University,Data Engineer - Contrat temporaire,62k$US -67k$US,62k$US,67k$US,62026$US - 66810$US Fourchette
Stellantis,Data Engineer - Stagiaire mensuel,908 -987,908,987,908 - 987 Fourchette
Axionable,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1304 - 1404 Fourchette
RTE - Le Réseau de Transport d'Electricité,Data Engineer,38k -41k,38k,41k,37954 - 41091 Fourchette
Zillow,Data Engineer - Stagiaire mensuel,4k -4k,4k,4k,3957 - 4343 Fourchette
Odigo,Data Engineer,53k -57k,53k,57k,52853 - 57472 Fourchette
DATASOFT CONSULTANTS,Data Engineer,53k -58k,53k,58k,53405 - 58061 Fourchette
Dékuple,Data Engineer,52k -57k,52k,57k,52469 - 56796 Fourchette
Disneyland Paris,Data Engineer - Mensuel,3k -3k,3k,3k,3083 - 3307 Fourchette
Aucun,Data Engineer - Stagiaire mensuel,813 -872,813,872,813 - 872 Fourchette
AGORA (G.I.E des Mutualités Sociales Agricoles) Ã  Montauban,Data Engineer,35k -38k,35k,38k,35401 - 38100 Fourchette
Crédit Agricole,Data Engineer - Stagiaire mensuel,1k -2k,1k,2k,1437 - 1563 Fourchette
Cetim,Data Engineer,45k -49k,45k,49k,44619 - 48786 Fourchette
La Bécanerie,Data Engineer,40k -43k,40k,43k,40328 - 43434 Fourchette
Royal Canin,Data Engineer,36k -40k,36k,40k,36271 - 39712 Fourchette
eXalt,Data Engineer,42k -46k,42k,46k,42212 - 45554 Fourchette
NH TherAguix,Data Engineer,45k -49k,45k,49k,44879 - 49136 Fourchette
Interactive College of Technology (ICT),Data Engineer - Stagiaire,10k -11k,10k,11k,10152 - 11079 Fourchette
Teads,Data Engineer,59k -64k,59k,64k,58935 - 64162 Fourchette
SWEN Capital Partners,Data Engineer - Mensuel,3k -3k,3k,3k,2534 - 2767 Fourchette
ProbaYes,Data Engineer,47k -50k,47k,50k,46507 - 49601 Fourchette
Loyalty Company,Data Engineer,35k -38k,35k,38k,35222 - 38360 Fourchette
Lydia (France),Data Engineer,46k -49k,46k,49k,45533 - 49058 Fourchette
Qonto,Data Engineer,56k -61k,56k,61k,55613 - 60696 Fourchette
Danone,Data Engineer,55k -60k,55k,60k,55247 - 60105 Fourchette
Scibids,Data Engineer,42k -45k,42k,45k,41677 - 45227 Fourchette
Anaya,Data Engineer,46k -50k,46k,50k,46234 - 49996 Fourchette
LVMH,Data Engineer,56k -60k,56k,60k,55824 - 60148 Fourchette
QUANT AI Lab,Data Engineer,48k -51k,48k,51k,47652 - 51182 Fourchette
Tiime,Data Engineer,52k -56k,52k,56k,51664 - 56290 Fourchette
anaya consulting,Data Engineer,46k -50k,46k,50k,45716 - 50180 Fourchette
Test,Data Engineer,48k -52k,48k,52k,48475 - 52426 Fourchette
Leavy,Data Engineer,45k -49k,45k,49k,44940 - 49192 Fourchette
Groupe BPCE,Data Engineer - Mensuel,4k -4k,4k,4k,3890 - 4255 Fourchette
titato placard,Data Engineer,51k -55k,51k,55k,51062 - 55110 Fourchette
Sennder,Data Engineer,43k -47k,43k,47k,43068 - 46677 Fourchette
EPSILON (France),Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1172 - 1277 Fourchette
Reezocar,Data Engineer,48k -52k,48k,52k,48149 - 52294 Fourchette
Linkfluence,Data Engineer,41k -44k,41k,44k,40977 - 44219 Fourchette
IBMI,Data Engineer,46k -50k,46k,50k,45896 - 49913 Fourchette
Kayrros,Data Engineer - Stagiaire mensuel,2k -2k,2k,2k,1689 - 1834 Fourchette
Institut Curie,Data Engineer,36k -40k,36k,40k,36212 - 39860 Fourchette
Amarris Groupe,Data Engineer,45k -50k,45k,50k,45489 - 49526 Fourchette
Winamax,Data Engineer,53k -58k,53k,58k,52648 - 57991 Fourchette
NOVENCIA Group,Data Engineer,62k -66k,62k,66k,62249 - 66383 Fourchette
Lyreco,Data Engineer,38k -41k,38k,41k,38383 - 41441 Fourchette
Arcane (France),Data Engineer,43k -47k,43k,47k,43470 - 46722 Fourchette
Thales,Data Engineer - Stagiaire mensuel,1k -2k,1k,2k,1391 - 1505 Fourchette
Athoria,Data Engineer,35k -38k,35k,38k,34854 - 37948 Fourchette
Andra,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1035 - 1127 Fourchette
LiveRamp,Data Engineer,47k -51k,47k,51k,46959 - 50942 Fourchette
Up2Mark Solutions,Data Engineer,33k -37k,33k,37k,33361 - 36626 Fourchette
Real Consulting Data,Data Engineer,39k -42k,39k,42k,38732 - 41667 Fourchette
Nokia,Data Engineer,44k -48k,44k,48k,43688 - 47567 Fourchette
Natixis,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1120 - 1205 Fourchette
Schlumberger,Data Engineer - Stagiaire mensuel,1k -2k,1k,2k,1494 - 1639 Fourchette
l'equipe,Data Engineer,43k -47k,43k,47k,43209 - 47158 Fourchette
BNP Paribas Personal Finance,Data Engineer - Mensuel,2k -2k,2k,2k,2215 - 2400 Fourchette
Equancy,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1339 - 1432 Fourchette
SNCF Réseau,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1016 - 1082 Fourchette
Teaching Personnel,Data Engineer - Mensuel,3k -3k,3k,3k,3021 - 3245 Fourchette
Groupe SEB,Data Engineer - Stagiaire mensuel,2k -2k,2k,2k,1585 - 1708 Fourchette
Trustpair,Data Engineer - Mensuel,2k -2k,2k,2k,1503 - 1634 Fourchette
Mobile Devices,Data Engineer,38k -41k,38k,41k,37680 - 40659 Fourchette
Boursorama,Data Engineer,44k -47k,44k,47k,44052 - 47397 Fourchette
Ginger CEBTP,Data Engineer,38k -41k,38k,41k,37670 - 41481 Fourchette
Dassault Systemes,Data Engineer,62k -68k,62k,68k,62492 - 68115 Fourchette
EXALT,Data Engineer,48k -51k,48k,51k,47524 - 51312 Fourchette
EuroConsult,Data Engineer,39k -42k,39k,42k,39022 - 41631 Fourchette
ENGIE Cofely,Data Engineer,40k -44k,40k,44k,40417 - 44101 Fourchette
CGI,Data Engineer - Stagiaire mensuel,962 -1k,962,1k,962 - 1044 Fourchette
Avanci,Data Engineer,34k -38k,34k,38k,34240 - 37653 Fourchette
Airbus,Data Engineer - Contrat temporaire mensuel,1k -2k,1k,2k,1453 - 1570 Fourchette
Rupali Bank Limited,Data Engineer,43k -46k,43k,46k,42646 - 45507 Fourchette
Michelin,Data Engineer,48k$US -52k$US,48k$US,52k$US,48283$US - 51522$US Fourchette
Atida,Data Engineer,53k -57k,53k,57k,53193 - 56838 Fourchette
Altran Group,Data Engineer,46k -50k,46k,50k,46045 - 50086 Fourchette
GE Healthcare,Data Engineer,43k -46k,43k,46k,43305 - 46235 Fourchette
Adloox,Data Engineer,41k -44k,41k,44k,40622 - 44107 Fourchette
Dropix,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1013 - 1113 Fourchette
DecideOm,Data Engineer,30k -33k,30k,33k,29926 - 32715 Fourchette
RG System,Data Engineer - Mensuel,1k -1k,1k,1k,1104 - 1183 Fourchette
Publicis Sapient,Data Engineer,54k -58k,54k,58k,53808 - 58055 Fourchette
Spendesk,Data Engineer,74k -80k,74k,80k,74423 - 80371 Fourchette
InfoTrie Financial Solutions,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1011 - 1084 Fourchette
Natixis,Data Engineer,95k -102k,95k,102k,95441 - 101875 Fourchette
Ecole Polytechnique,Data Engineer,45k -49k,45k,49k,44974 - 49406 Fourchette
IMT Atlantique,Data Engineer,19k -21k,19k,21k,19276 - 20844 Fourchette
Adrian Flux,Data Engineer,58k -63k,58k,63k,57930 - 63001 Fourchette
ALSTOM,Data Engineer,60k -65k,60k,65k,59970 - 64807 Fourchette
Harnham,Data Engineer,49k -53k,49k,53k,49200 - 53132 Fourchette
Ericsson IT Solutions & Services,Data Engineer,50k -55k,50k,55k,50408 - 54823 Fourchette
Matmut,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1088 - 1175 Fourchette
DataKund,Data Engineer,48k -52k,48k,52k,47809 - 52365 Fourchette
Aucun,Data Engineer - Contrat temporaire mensuel,5k -5k,5k,5k,4820 - 5253 Fourchette
AFD.TECH,Data Engineer,35k -38k,35k,38k,35451 - 38145 Fourchette
Sopra Steria,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1010 - 1096 Fourchette
Eureden,Data Engineer - Mensuel,1k -1k,1k,1k,1237 - 1338 Fourchette
Groupama,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1206 - 1306 Fourchette
Matmut,Data Engineer,40k -43k,40k,43k,40491 - 43487 Fourchette
Motown Auto Distributing,Data Engineer,35k -38k,35k,38k,35086 - 38272 Fourchette
CACIB,Data Engineer - Stagiaire mensuel,2k -2k,2k,2k,1640 - 1756 Fourchette
Stellantis,Data Engineer - Mensuel,872 -950,872,950,872 - 950 Fourchette
MinuteBuzz,Data Engineer,36k -39k,36k,39k,36046 - 38630 Fourchette
Azerty,Data Engineer,46k$US -50k$US,46k$US,50k$US,46137$US - 50062$US Fourchette
artéfact,Data Engineer,44k -47k,44k,47k,43596 - 47188 Fourchette
Beezen,Data Engineer,41k -43k,41k,43k,40569 - 43453 Fourchette
Adecco,Data Engineer,34k -36k,34k,36k,33569 - 35908 Fourchette
Michelin,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1342 - 1454 Fourchette
Insyco,Data Engineer,46k -49k,46k,49k,46411 - 49302 Fourchette
Talan,Data Engineer - Stagiaire mensuel,2k -2k,2k,2k,1530 - 1663 Fourchette
Shippeo,Data Engineer - Mensuel,5k -5k,5k,5k,4544 - 4993 Fourchette
Diggers,Data Engineer,40k -43k,40k,43k,39843 - 43043 Fourchette
PriceHubble,Data Engineer - Stagiaire mensuel,2k -2k,2k,2k,1651 - 1777 Fourchette
Converteo,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1339 - 1460 Fourchette
Ask Locala,Data Engineer,60k -65k,60k,65k,60089 - 65146 Fourchette
Allianz Trade,Data Engineer,48k -52k,48k,52k,47964 - 51538 Fourchette
Lo,Data Engineer,73k -78k,73k,78k,73025 - 78084 Fourchette
ING,Data Engineer,70k -76k,70k,76k,69636 - 75696 Fourchette
Cango,Data Engineer,67k -73k,67k,73k,67256 - 72819 Fourchette
Eulidia,Data Engineer,40k -43k,40k,43k,39862 - 42757 Fourchette
Deezer,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1362 - 1459 Fourchette
Jacques Vert,Data Engineer,50k -54k,50k,54k,50344 - 54186 Fourchette
Sia Partners,Data Engineer,77k -84k,77k,84k,77056 - 84098 Fourchette
Nexity,Data Engineer,37k -41k,37k,41k,37309 - 40926 Fourchette
PriceHubble,Data Engineer - Mensuel,2k -2k,2k,2k,2010 - 2165 Fourchette
Metro,Data Engineer,51k -55k,51k,55k,50527 - 54868 Fourchette
Banque de France,Data Engineer - Stagiaire,36k -39k,36k,39k,35859 - 39055 Fourchette
Altran Technologies,Data Engineer,41k -44k,41k,44k,41223 - 44309 Fourchette
OYST,Data Engineer,57k -63k,57k,63k,57296 - 62791 Fourchette
Equativ,Data Engineer,57k -62k,57k,62k,56615 - 61849 Fourchette
Treez Data Management,Data Engineer,45k -47k,45k,47k,44542 - 47426 Fourchette
Eiffage,Data Engineer,62k -66k,62k,66k,62005 - 66331 Fourchette
AXA,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1307 - 1405 Fourchette
Caisse des Dépôts et Consignations,Data Engineer,61k -66k,61k,66k,60926 - 65864 Fourchette
Deepki,Data Engineer,41k -44k,41k,44k,40652 - 43972 Fourchette
Freelancer,Data Engineer - Stagiaire mensuel,753 -822,753,822,753 - 822 Fourchette
Ministère de l'Intérieur,Data Engineer,48k -52k,48k,52k,48274 - 51778 Fourchette
GROOPTOWN,Data Engineer,59k -64k,59k,64k,58789 - 63897 Fourchette
Neobrain,Data Engineer,44k -47k,44k,47k,43606 - 47331 Fourchette
AT Internet,Data Engineer,33k -35k,33k,35k,32951 - 35133 Fourchette
MOI,Data Engineer - Mensuel,5k -6k,5k,6k,5275 - 5670 Fourchette
ITrust,Data Engineer,46k -50k,46k,50k,46155 - 49890 Fourchette
DataScientest,Data Engineer,61k -65k,61k,65k,60603 - 65456 Fourchette
Tweag Software Innovation Lab,Data Engineer,48k -52k,48k,52k,48204 - 52139 Fourchette
Sagemcom,Data Engineer,39k -43k,39k,43k,39186 - 42545 Fourchette
Compte-Nickel,Data Engineer,56k -60k,56k,60k,56228 - 60259 Fourchette
Via Seating,Data Engineer,51k -55k,51k,55k,50937 - 55387 Fourchette
Natixis,Data Engineer - Mensuel,2k -2k,2k,2k,1540 - 1679 Fourchette
Mphasis,Data Engineer - Mensuel,4k -5k,4k,5k,4409 - 4768 Fourchette
ABC Portage,Data Engineer,52k -56k,52k,56k,51560 - 56081 Fourchette
Wolters Kluwer,Data Engineer,55k -59k,55k,59k,54881 - 59380 Fourchette
Companhia Docas do Espírito Santo (Codesa),Data Engineer,38k -41k,38k,41k,38439 - 41262 Fourchette
Aitenders,Data Engineer,51k -55k,51k,55k,50698 - 54915 Fourchette
Coyote System,Data Engineer,38k -42k,38k,42k,38442 - 42238 Fourchette
Adalte,Data Engineer,45k -48k,45k,48k,44999 - 48471 Fourchette
Carrefour,Data Engineer,46k -50k,46k,50k,45947 - 50039 Fourchette
Thales,Data Engineer,38k -41k,38k,41k,38473 - 41301 Fourchette
C-Ways (France),Data Engineer,41k -45k,41k,45k,41064 - 45290 Fourchette
CEGID,Data Engineer,41k -44k,41k,44k,41186 - 44202 Fourchette
Daher,Data Engineer,26k -28k,26k,28k,25806 - 27750 Fourchette
Formation,Data Engineer - Mensuel,2k -2k,2k,2k,1525 - 1647 Fourchette
La Poste du Togo,Data Engineer - Horaire,20 -22,20,22,20 - 22 Fourchette
LesFurets.com,Data Engineer,41k -45k,41k,45k,40886 - 44698 Fourchette
Freelancer,Data Engineer,40k -44k,40k,44k,40429 - 44029 Fourchette
CyberCoders,Data Engineer - Mensuel,863 -928,863,928,863 - 928 Fourchette
Fydem,Data Engineer,39k -42k,39k,42k,38703 - 41733 Fourchette
Pierre Fabre,Data Engineer,56k -61k,56k,61k,56482 - 60543 Fourchette
DDD,Data Engineer,38k -41k,38k,41k,38151 - 41206 Fourchette
Squad,Data Engineer,36k -40k,36k,40k,36497 - 40036 Fourchette
Amadeus,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1130 - 1230 Fourchette
Clarins,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1201 - 1313 Fourchette
Saagie,Data Engineer,54k -59k,54k,59k,53614 - 58535 Fourchette
Generali,Data Engineer - Mensuel,2k -2k,2k,2k,1826 - 1979 Fourchette
Thomas Paul Constructions,Data Engineer,43k -47k,43k,47k,42854 - 46913 Fourchette
Free (France),Data Engineer,41k -44k,41k,44k,41237 - 44486 Fourchette
Travel Planet,Data Engineer,45k -49k,45k,49k,44813 - 48523 Fourchette
Wiidii,Data Engineer,40k -44k,40k,44k,39724 - 43570 Fourchette
BNP Paribas,Data Scientist,48455,25k,83k,24940 - 82500 Fourchette
Orange,Data Scientist,47861,17k,80k,17265 - 79759 Fourchette
Capgemini,Data Scientist,41108,22k,59k,22446 - 58653 Fourchette
Société Générale,Data Scientist,51909,40k,64k,40000 - 63500 Fourchette
Orange,Data Analyst,47861,16k,60k,15600 - 60011 Fourchette
Shift Technology,Data Scientist,48307,42k,63k,41923 - 63430 Fourchette
AXA,Data Scientist,52312,39k,67k,39346 - 66625 Fourchette
AXA,Data Analyst,42543,24k,58k,23992 - 57667 Fourchette
Quantmetry,Data Scientist,44768,40k,57k,39563 - 56948 Fourchette
Orange,Data Scientist - Stagiaire mensuel,1430,1k,2k,1128 - 1964 Fourchette
Criteo,Data Analyst,50088,44k,63k,44000 - 63408 Fourchette
Airbus,Data Scientist,45590,37k,56k,36945 - 56028 Fourchette
BNP Paribas,Data Analyst,45000,26k,69k,26092 - 69271 Fourchette
Société Générale,Data Scientist - Stagiaire mensuel,1782,1k,2k,1279 - 2050 Fourchette
BNP Paribas,Data Scientist - Stagiaire mensuel,1663,389,2k,389 - 2234 Fourchette
AXA,Data Scientist - Stagiaire mensuel,1919,1k,3k,1362 - 2547 Fourchette
Amadeus,Data Scientist,50032,27k,65k,26589 - 64875 Fourchette
Renault Group,Data Scientist,51503,40k,91k,40007 - 90690 Fourchette
TotalEnergies,Data Scientist,50088,41k,64k,40922 - 64341 Fourchette
Orange,Data Analyst - Stagiaire mensuel,1362,1k,2k,1170 - 1773 Fourchette
Thales,Data Scientist,48408,36k,64k,36313 - 64417 Fourchette
Deloitte,Data Scientist,47258,40k,58k,40174 - 58313 Fourchette
EY,Data Scientist,48072,40k,101k,40000 - 101238 Fourchette
CGI,Data Scientist,40438,35k,52k,35034 - 52372 Fourchette
Crédit Agricole,Data Scientist,42403,19k,59k,19389 - 58826 Fourchette
Criteo,Data Scientist,64937,34k,186k,33928 - 186350 Fourchette
Artefact,Data Scientist,50837,44k,73k,44019 - 72743 Fourchette
Bouygues Telecom,Data Analyst,41609,28k,49k,27502 - 48964 Fourchette
Fifty-Five,Data Analyst,43237,39k,45k,38534 - 45323 Fourchette
EDF,Data Scientist,45871,36k,680k,35910 - 680340 Fourchette
Capgemini,Data Analyst,40000,25k,54k,25268 - 53694 Fourchette
Capgemini Invent,Data Scientist,52439,47k,80k,47225 - 80081 Fourchette
CNRS,Data Scientist - Mensuel,2615,2k,5k,1542 - 4591 Fourchette
Carrefour,Data Scientist,50884,42k,56k,42113 - 56039 Fourchette
Sopra Steria,Data Scientist,39274,34k,61k,33669 - 60522 Fourchette
Capgemini,Data Scientist - Stagiaire mensuel,1445,1k,2k,1110 - 1552 Fourchette
Amadeus,Data Scientist - Stagiaire mensuel,1584,1k,2k,1170 - 1980 Fourchette
Safran,Data Scientist,49092,37k,81k,37165 - 80851 Fourchette
Ubisoft,Data Analyst,48370,35k,57k,34998 - 56853 Fourchette
Criteo,Senior Data Analyst,63523,58k,72k,57543 - 71614 Fourchette
Artefact,Data Consultant,43228,41k,49k,40766 - 48845 Fourchette
Add Intelligence to data,Data Scientist,44760,35k,49k,35168 - 49045 Fourchette
Sia Partners,Data Scientist,48000,45k,55k,45015 - 54572 Fourchette
Capgemini Engineering,Data Scientist,40416,32k,53k,32046 - 53012 Fourchette
Crédit Agricole,Data Scientist - Stagiaire mensuel,1241,533,2k,533 - 1900 Fourchette
BNP Paribas,Data Analyst - Stagiaire mensuel,1851,1k,2k,1306 - 2124 Fourchette
Shift Technology,Senior Data Scientist,54737,52k,66k,51771 - 66287 Fourchette
Deezer,Data Scientist,48184,44k,61k,44293 - 61085 Fourchette
Aquila Data Enabler,Data Scientist,50528,45k,53k,45015 - 53012 Fourchette
onepoint,Data Scientist,47711,38k,55k,37587 - 55132 Fourchette
Atos,Data Scientist,41738,32k,53k,31816 - 53179 Fourchette
TotalEnergies,Data Scientist - Stagiaire mensuel,1380,1k,4k,1100 - 3976 Fourchette
Google,Data Scientist,68668,42k,120k,41899 - 120000 Fourchette
Natixis,Data Scientist - Stagiaire mensuel,1505,1k,2k,1100 - 2051 Fourchette
Airbus,Data Analyst,42770,21k,58k,20989 - 57592 Fourchette
Crédit Agricole,Data Analyst,32538,15k,55k,15000 - 55000 Fourchette
Renault Group,Data Analyst,44979,36k,69k,36313 - 69000 Fourchette
Expleo Group,Data Scientist,39652,37k,48k,37000 - 47957 Fourchette
ALTEN,Data Scientist,37709,32k,49k,31907 - 48771 Fourchette
Ekimetrics,Data Scientist,45284,40k,59k,40049 - 58500 Fourchette
Assystem,Data Scientist,45195,39k,53k,39171 - 53286 Fourchette
TotalEnergies,Data Analyst,43314,32k,51k,32346 - 51000 Fourchette
ALTEN,Data Analyst,37225,31k,49k,31442 - 49086 Fourchette
Fifty-Five,Senior Data Analyst,51213,46k,54k,45654 - 53658 Fourchette
Cdiscount,Data Scientist,45746,39k,57k,39441 - 57155 Fourchette
EDF,Data Scientist - Stagiaire mensuel,1102,1k,1k,1001 - 1353 Fourchette
Faurecia,Data Scientist,52630,41k,70k,41479 - 69559 Fourchette
IBM,Data Scientist,53895,43k,129k,43187 - 129257 Fourchette
Dassault Systemes,Data Scientist,48670,17k,148k,16625 - 148433 Fourchette
Natixis,Data Scientist,53920,16k,101k,15986 - 101243 Fourchette
Generali,Data Scientist,51154,41k,63k,41357 - 62799 Fourchette
Société Générale,Data Analyst,42184,25k,64k,24526 - 63943 Fourchette
CGI,Data Analyst,37908,31k,45k,31442 - 44543 Fourchette
EDF,Data Analyst - Stagiaire mensuel,1094,943,2k,943 - 1650 Fourchette
Umbrella Corporation,Data Scientist,47957,48k,59k,47861 - 58614 Fourchette
ENGIE,Data Scientist,43470,30k,62k,29746 - 62002 Fourchette
SNCF,Data Scientist,53396,15k,73k,14964 - 73365 Fourchette
Capgemini Engineering,Data Scientist - Stagiaire mensuel,1064,833,1k,833 - 1450 Fourchette
Thales,Data Scientist - Stagiaire mensuel,1324,1k,2k,1194 - 1677 Fourchette
Polynom,Data Scientist - Stagiaire mensuel,1273,838,2k,838 - 1679 Fourchette
Sicara,Data Scientist,49506,45k,62k,44760 - 62125 Fourchette
Orange,Data Scientist - Mensuel,1657,1k,3k,1159 - 3191 Fourchette
AVISIA,Data Scientist,43994,37k,50k,37000 - 50103 Fourchette
Groupe SII,Data Scientist,41349,34k,48k,33519 - 47861 Fourchette
Air France,Data Analyst,43173,41k,51k,40575 - 51153 Fourchette
Orange,Data Analyst - Mensuel,1492,1k,2k,1083 - 2108 Fourchette
Société Générale,Data Analyst - Stagiaire mensuel,1752,1k,2k,1088 - 1914 Fourchette
Capgemini Engineering,Data Analyst,40948,32k,62k,32000 - 62467 Fourchette
SFR,Data Analyst,42366,36k,65k,36169 - 64550 Fourchette
TotalEnergies,Data Analyst - Stagiaire mensuel,1098,742,2k,742 - 1707 Fourchette
EDF,Data Analyst,41636,16k,67k,15979 - 66782 Fourchette
Capgemini Invent,Senior Data Scientist,59787,58k,72k,58000 - 71566 Fourchette
Quantmetry,Senior Data Scientist,59706,53k,67k,52641 - 67240 Fourchette
Amadeus,Data Science Engineer,47679,43k,54k,42567 - 53913 Fourchette
Amadeus,Data Science - Stagiaire mensuel,1617,2k,2k,1595 - 1918 Fourchette
Amadeus,Data Scientist Intern - Mensuel,1871,2k,2k,1596 - 1914 Fourchette
Aixial Group,Clinical Data Manager,44589,42k,57k,41567 - 57155 Fourchette
Sia Partners,Consultant Data Scientist,48000,45k,55k,45356 - 55132 Fourchette
Ubisoft,Data Scientist,53107,41k,78k,40979 - 77939 Fourchette
Umanis,Data Scientist,46314,36k,156k,36234 - 156346 Fourchette
Thales,Data Scientist - Mensuel,1425,1k,2k,1059 - 1600 Fourchette
Nokia,Data Scientist,47749,31k,84k,31472 - 83846 Fourchette
Boston Consulting Group,Data Scientist,67166,43k,73k,42628 - 72721 Fourchette
Groupama,Data Scientist,45751,22k,70k,22039 - 70000 Fourchette
La Banque Postale,Data Scientist,53000,42k,83k,42000 - 82672 Fourchette
LittleBigCode,Data Scientist,50109,47k,61k,46797 - 60522 Fourchette
Carrefour,Data Scientist - Stagiaire mensuel,1526,1k,2k,1048 - 2150 Fourchette
